SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
155;06/06/2023;20:11:12;25.88;;;;155;06/06/2023;20:12:49;25.98;;;;155;05/06/2023;20:19:48;25.41;;;;
156;06/06/2023;20:12:12;25.88;;;;156;06/06/2023;20:13:49;25.97;;;;156;05/06/2023;20:20:48;25.4;;;;
157;06/06/2023;20:13:12;25.89;;;;157;06/06/2023;20:14:49;25.95;;;;157;05/06/2023;20:21:48;25.4;;;;
158;06/06/2023;20:14:12;25.88;;;;158;06/06/2023;20:15:49;25.95;;;;158;05/06/2023;20:22:48;25.37;;;;
159;06/06/2023;20:15:12;25.88;;;;159;06/06/2023;20:16:49;25.97;;;;159;05/06/2023;20:23:47;25.35;;;;
160;06/06/2023;20:16:12;25.87;;;;160;06/06/2023;20:17:49;25.97;;;;160;05/06/2023;20:24:48;25.36;;;;
161;06/06/2023;20:17:12;25.88;;;;161;06/06/2023;20:18:49;25.96;;;;161;05/06/2023;20:25:48;25.35;;;;
162;06/06/2023;20:18:12;25.85;;;;162;06/06/2023;20:19:49;25.97;;;;162;05/06/2023;20:26:48;25.35;;;;
163;06/06/2023;20:19:12;25.86;;;;163;06/06/2023;20:20:49;25.95;;;;163;05/06/2023;20:27:48;25.31;;;;
164;06/06/2023;20:20:12;25.85;;;;164;06/06/2023;20:21:49;25.96;;;;164;05/06/2023;20:28:48;25.3;;;;
165;06/06/2023;20:21:12;25.84;;;;165;06/06/2023;20:22:48;25.95;;;;165;05/06/2023;20:29:48;25.3;;;;
166;06/06/2023;20:22:12;25.85;;;;166;06/06/2023;20:23:48;25.96;;;;166;05/06/2023;20:30:48;25.3;;;;
167;06/06/2023;20:23:12;25.84;;;;167;06/06/2023;20:24:48;25.95;;;;167;05/06/2023;20:31:47;25.29;;;;
168;06/06/2023;20:24:12;25.84;;;;168;06/06/2023;20:25:48;25.95;;;;168;05/06/2023;20:32:47;25.28;;;;
169;06/06/2023;20:25:12;25.85;;;;169;06/06/2023;20:26:48;25.94;;;;169;05/06/2023;20:33:47;25.27;;;;
170;06/06/2023;20:26:12;25.84;;;;170;06/06/2023;20:27:48;25.95;;;;170;05/06/2023;20:34:47;25.25;;;;
171;06/06/2023;20:27:12;25.84;;;;171;06/06/2023;20:28:48;25.94;;;;171;05/06/2023;20:35:47;25.26;;;;
172;06/06/2023;20:28:12;25.81;;;;172;06/06/2023;20:29:48;25.92;;;;172;05/06/2023;20:36:47;25.25;;;;
173;06/06/2023;20:29:12;25.83;;;;173;06/06/2023;20:30:48;25.94;;;;173;05/06/2023;20:37:47;25.23;;;;
174;06/06/2023;20:30:12;25.83;;;;174;06/06/2023;20:31:48;25.92;;;;174;05/06/2023;20:38:47;25.23;;;;
175;06/06/2023;20:31:12;25.83;;;;175;06/06/2023;20:32:48;25.92;;;;175;05/06/2023;20:39:47;25.23;;;;
176;06/06/2023;20:32:12;25.8;;;;176;06/06/2023;20:33:47;25.92;;;;176;05/06/2023;20:40:47;25.2;;;;
177;06/06/2023;20:33:12;25.81;;;;177;06/06/2023;20:34:47;25.91;;;;177;05/06/2023;20:41:47;25.21;;;;
178;06/06/2023;20:34:12;25.81;;;;178;06/06/2023;20:35:47;25.91;;;;178;05/06/2023;20:42:47;25.18;;;;
179;06/06/2023;20:35:12;25.8;;;;179;06/06/2023;20:36:47;25.89;;;;179;05/06/2023;20:43:47;25.18;;;;
180;06/06/2023;20:36:12;25.8;;;;180;06/06/2023;20:37:47;25.91;;;;180;05/06/2023;20:44:47;25.18;;;;
181;06/06/2023;20:37:12;25.79;;;;181;06/06/2023;20:38:47;25.91;;;;181;05/06/2023;20:45:47;25.18;;;;
182;06/06/2023;20:38:12;25.8;;;;182;06/06/2023;20:39:47;25.91;;;;182;05/06/2023;20:46:47;25.16;;;;
183;06/06/2023;20:39:12;25.81;;;;183;06/06/2023;20:40:47;25.91;;;;183;05/06/2023;20:47:47;25.16;;;;
184;06/06/2023;20:40:12;25.83;;;;184;06/06/2023;20:41:47;25.89;;;;184;05/06/2023;20:48:47;25.16;;;;
185;06/06/2023;20:41:12;25.79;;;;185;06/06/2023;20:42:47;25.88;;;;185;05/06/2023;20:49:47;25.15;;;;
186;06/06/2023;20:42:12;25.8;;;;186;06/06/2023;20:43:47;25.89;;;;186;05/06/2023;20:50:47;25.13;;;;
187;06/06/2023;20:43:12;25.78;;;;187;06/06/2023;20:44:47;25.91;;;;187;05/06/2023;20:51:47;25.13;;;;
